algorithm,run_seed,best_stiffness,best_porosity,n_evals_to_90pct,is_feasible,final_hypervolume
SimpleGA,0,318.78133747367895,0.5000693221726852,593.0,True,
SimpleGA,1,297.6097668796186,0.5005228256309839,1123.0,True,
SimpleGA,2,282.1814249113373,0.5,695.0,True,
SimpleGA,3,282.29946107462604,0.5002327289324674,994.0,True,
SimpleGA,4,306.28791468649035,0.5014269755077971,739.0,True,
SimpleGA,5,303.2103575866433,0.5002929076262865,1704.0,True,
SimpleGA,6,297.6726301006231,0.5005253200787484,1109.0,True,
SimpleGA,7,296.8894772498385,0.5000162866394701,1366.0,True,
SimpleGA,8,301.17111389283406,0.5001768641251649,911.0,True,
SimpleGA,9,295.29674337756046,0.5000778826623801,995.0,True,
SimpleGA,10,289.00453229893094,0.5004939805034508,955.0,True,
SimpleGA,11,263.93035080387546,0.5012041987966487,850.0,True,
SimpleGA,12,315.6953016220453,0.5003671118458879,705.0,True,
SimpleGA,13,287.6938086908488,0.5019684894738085,1000.0,True,
SimpleGA,14,281.4021584782394,0.5027034923826136,550.0,True,
SimpleGA,15,321.642605447566,0.5000762973809454,1165.0,False,
SimpleGA,16,308.73651725328085,0.5002752685308225,598.0,True,
SimpleGA,17,301.63502041107716,0.5000286421173649,612.0,True,
SimpleGA,18,298.97220890279294,0.5003262865784668,958.0,True,
SimpleGA,19,310.1486054967152,0.5001326175765387,776.0,True,
NSGA2,0,324.08707191548507,,15000.0,True,30.130092262480897
NSGA2,1,333.4788200737404,,15000.0,True,30.568901961119405
NSGA2,2,337.8538398672336,,15000.0,True,30.294547366068834
NSGA2,3,346.3160190635798,,15000.0,True,30.54798078382436
NSGA2,4,338.5035665203509,,15000.0,True,30.81828272778281
NSGA2,5,344.6944222733804,,15000.0,True,30.236601751434247
NSGA2,6,332.85388659866925,,15000.0,True,30.785786340869233
NSGA2,7,331.5428412107359,,15000.0,True,30.972445588301383
NSGA2,8,346.8891349109747,,15000.0,True,30.348293834112834
NSGA2,9,331.4911773731548,,15000.0,True,30.8520905852696
NSGA2,10,333.19960135018596,,15000.0,True,31.07958581850934
NSGA2,11,338.3686792921615,,15000.0,True,30.66411162336561
NSGA2,12,330.4236407838018,,15000.0,True,29.735714755062066
NSGA2,13,333.5402196418489,,15000.0,True,30.386426074078432
NSGA2,14,334.1327142949699,,15000.0,True,30.05847064903866
NSGA2,15,327.23435842239576,,15000.0,True,30.587088606586672
NSGA2,16,333.148099128689,,15000.0,True,30.696519294448404
NSGA2,17,332.8430188514216,,15000.0,True,29.754245182937765
NSGA2,18,336.40680155802613,,15000.0,True,31.321452470617846
NSGA2,19,327.6160428356328,,15000.0,True,30.76997008794994
BO,0,231.59566327952552,0.5478522322984343,inf,True,
BO,1,301.207954593378,0.5,inf,True,
BO,2,285.0562485253594,0.5,inf,True,
BO,3,277.25143509584365,0.5092470265181497,inf,True,
BO,4,209.80607508702283,0.5306717468316114,inf,True,
BO,5,194.88208783594195,0.5258027595250153,inf,True,
BO,6,286.10844875679396,0.5003409904393626,inf,True,
BO,7,217.12585163234996,0.5346973719359968,inf,True,
BO,8,187.96668818589427,0.5586098716955961,inf,True,
BO,9,249.68983029606483,0.5,inf,True,
BO,10,205.95698155654034,0.5217152383621504,inf,True,
BO,11,201.9009879848629,0.5202721546932564,inf,True,
BO,12,247.08668415068541,0.5082289408854339,inf,True,
BO,13,283.5014996149365,0.5,inf,True,
BO,14,291.6276520409221,0.5076257793477152,inf,True,
BO,15,249.64033708738012,0.5,inf,True,
BO,16,177.40129699164035,0.5162906128931328,inf,True,
BO,17,272.3489300575316,0.5,inf,True,
BO,18,249.44253101995005,0.5011183477598715,inf,True,
BO,19,196.86915184395562,0.5046809784045054,inf,True,
